2026-05-21 19:48:36.375 +03 [18476] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-05-21 19:48:36.382 +03 [18476] LOG:  listening on IPv6 address "::1", port 55432
2026-05-21 19:48:36.382 +03 [18476] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-05-21 19:48:36.470 +03 [21660] LOG:  database system was shut down at 2026-05-21 19:48:23 +03
2026-05-21 19:48:36.504 +03 [18476] LOG:  database system is ready to accept connections
2026-05-21 19:48:38.851 +03 [18524] FATAL:  role "ahmeb" does not exist
2026-05-21 19:48:48.054 +03 [10764] FATAL:  role "ahmeb" does not exist
2026-05-21 19:48:57.680 +03 [13388] ERROR:  syntax error at or near "BEGIN" at character 5
2026-05-21 19:48:57.680 +03 [13388] STATEMENT:  DO  BEGIN IF NOT EXISTS (SELECT FROM pg_roles WHERE rolname = 'course_user') THEN CREATE ROLE course_user LOGIN PASSWORD 'course_pass_123'; ELSE ALTER ROLE course_user WITH LOGIN PASSWORD 'course_pass_123'; END IF; END ;
2026-05-21 19:48:57.951 +03 [24312] ERROR:  role "course_user" does not exist
2026-05-21 19:48:57.951 +03 [24312] STATEMENT:  CREATE DATABASE course_booking_dev OWNER course_user;
2026-05-21 19:49:19.022 +03 [11836] ERROR:  relation "_prisma_migrations" does not exist at character 126
2026-05-21 19:49:19.022 +03 [11836] STATEMENT:  SELECT "id", "checksum", "finished_at", "migration_name", "logs", "rolled_back_at", "started_at", "applied_steps_count" FROM "_prisma_migrations" ORDER BY "started_at" ASC
2026-05-21 19:49:19.023 +03 [11836] ERROR:  permission denied to create database
2026-05-21 19:49:19.023 +03 [11836] STATEMENT:  CREATE DATABASE "prisma_migrate_shadow_db_0f0f5f43-dc6a-452a-bdc1-897796ece33f"
2026-05-21 19:49:19.116 +03 [11836] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:49:27.849 +03 [2508] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:49:27.930 +03 [24208] ERROR:  relation "_prisma_migrations" does not exist at character 126
2026-05-21 19:49:27.930 +03 [24208] STATEMENT:  SELECT "id", "checksum", "finished_at", "migration_name", "logs", "rolled_back_at", "started_at", "applied_steps_count" FROM "_prisma_migrations" ORDER BY "started_at" ASC
2026-05-21 19:49:28.329 +03 [23620] LOG:  checkpoint starting: immediate force wait
2026-05-21 19:49:29.091 +03 [23620] LOG:  checkpoint complete: wrote 994 buffers (6.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.074 s, sync=0.662 s, total=0.763 s; sync files=310, longest=0.014 s, average=0.003 s; distance=9335 kB, estimate=9335 kB; lsn=0/210F168, redo lsn=0/210F110
2026-05-21 19:49:29.805 +03 [444] ERROR:  unsafe use of new value "PENDING_VERIFICATION" of enum type "UserStatus"
2026-05-21 19:49:29.805 +03 [444] HINT:  New enum values must be committed before they can be used.
2026-05-21 19:49:29.805 +03 [444] STATEMENT:  -- AlterEnum
	ALTER TYPE "UserStatus" ADD VALUE 'PENDING_VERIFICATION';
	
	-- AlterTable
	ALTER TABLE "users" ADD COLUMN     "email_verified" BOOLEAN NOT NULL DEFAULT false,
	ADD COLUMN     "failed_login_attempts" INTEGER NOT NULL DEFAULT 0,
	ADD COLUMN     "lock_until" TIMESTAMP(3),
	ALTER COLUMN "status" SET DEFAULT 'PENDING_VERIFICATION';
	
2026-05-21 19:49:29.806 +03 [23620] LOG:  checkpoint starting: immediate force wait
2026-05-21 19:49:29.850 +03 [23620] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.006 s, sync=0.017 s, total=0.044 s; sync files=7, longest=0.003 s, average=0.003 s; distance=6020 kB, estimate=9003 kB; lsn=0/26F0310, redo lsn=0/26F02B8
2026-05-21 19:49:29.939 +03 [24208] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:49:38.806 +03 [2836] ERROR:  relation "public.audit_logs" does not exist at character 13
2026-05-21 19:49:38.806 +03 [2836] STATEMENT:  DELETE FROM "public"."audit_logs" WHERE 1=1
2026-05-21 19:49:38.844 +03 [2836] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:49:39.442 +03 [22396] LOG:  could not receive data from client: An established connection was aborted by the software in your host machine.
	
2026-05-21 19:49:39.798 +03 [15148] ERROR:  character with byte sequence 0xd9 0x82 in encoding "UTF8" has no equivalent in encoding "WIN1252"
2026-05-21 19:49:39.826 +03 [15148] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:49:51.288 +03 [18476] LOG:  received fast shutdown request
2026-05-21 19:49:51.294 +03 [18476] LOG:  aborting any active transactions
2026-05-21 19:49:51.334 +03 [18476] LOG:  background worker "logical replication launcher" (PID 16892) exited with exit code 1
2026-05-21 19:49:51.334 +03 [23620] LOG:  shutting down
2026-05-21 19:49:51.337 +03 [23620] LOG:  checkpoint starting: shutdown immediate
2026-05-21 19:49:51.636 +03 [23620] LOG:  checkpoint complete: wrote 258 buffers (1.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.027 s, sync=0.258 s, total=0.303 s; sync files=121, longest=0.006 s, average=0.003 s; distance=2024 kB, estimate=8306 kB; lsn=0/28EA608, redo lsn=0/28EA608
2026-05-21 19:49:51.975 +03 [18476] LOG:  database system is shut down
2026-05-21 19:50:00.115 +03 [3060] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-05-21 19:50:00.122 +03 [3060] LOG:  listening on IPv6 address "::1", port 55432
2026-05-21 19:50:00.122 +03 [3060] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-05-21 19:50:00.183 +03 [22864] LOG:  database system was shut down at 2026-05-21 19:49:55 +03
2026-05-21 19:50:00.220 +03 [3060] LOG:  database system is ready to accept connections
2026-05-21 19:50:02.333 +03 [25940] FATAL:  role "ahmeb" does not exist
2026-05-21 19:50:14.898 +03 [19336] FATAL:  role "ahmeb" does not exist
2026-05-21 19:50:21.409 +03 [18448] ERROR:  relation "public.audit_logs" does not exist at character 13
2026-05-21 19:50:21.409 +03 [18448] STATEMENT:  DELETE FROM "public"."audit_logs" WHERE 1=1
2026-05-21 19:50:21.443 +03 [18448] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:50:21.920 +03 [22396] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
