
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[Scheduler] ✅ Auto-completed 2 session(s) at 2026-06-02T16:30:00.382Z
[Scheduler] ✅ Auto-completed 1 course(s) at 2026-06-02T16:30:00.384Z
[2026-06-02T16:30:23.291Z] GET /health
[2026-06-02T16:30:23.353Z] GET /api/public/stats
[2026-06-02T16:30:45.121Z] GET /api/public/stats
[2026-06-02T16:30:45.127Z] GET /api/public/categories
[2026-06-02T16:30:45.130Z] GET /api/public/featured-courses
[2026-06-02T16:30:45.147Z] GET /api/auth/me
[2026-06-02T16:30:45.193Z] OPTIONS /api/auth/refresh
[2026-06-02T16:30:45.199Z] POST /api/auth/refresh
[2026-06-02T16:31:52.267Z] OPTIONS /api/auth/login
[2026-06-02T16:31:52.273Z] POST /api/auth/login
[2026-06-02T16:31:52.635Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:31:52.640Z] GET /api/notifications/unread-count
[2026-06-02T16:31:53.525Z] OPTIONS /api/institute/profile
[2026-06-02T16:31:53.530Z] OPTIONS /api/institute/enrollments
[2026-06-02T16:31:53.534Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:31:53.541Z] OPTIONS /api/institute/dashboard
[2026-06-02T16:31:53.544Z] OPTIONS /api/institute/profile
[2026-06-02T16:31:53.546Z] OPTIONS /api/institute/dashboard
[2026-06-02T16:31:53.548Z] GET /api/institute/profile
[2026-06-02T16:31:53.551Z] OPTIONS /api/institute/enrollments
[2026-06-02T16:31:53.554Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:31:53.557Z] GET /api/institute/enrollments
[2026-06-02T16:31:53.561Z] GET /api/institute/halls/bookings
[2026-06-02T16:31:53.564Z] GET /api/institute/dashboard
[2026-06-02T16:31:53.567Z] GET /api/institute/profile
[2026-06-02T16:31:53.599Z] GET /api/institute/enrollments
[2026-06-02T16:31:53.633Z] GET /api/institute/halls/bookings
[2026-06-02T16:31:53.678Z] GET /uploads/%C3%98%C2%AA%C3%99%C2%86%C3%98%C2%B2%C3%99%C2%8A%C3%99%C2%84%20(1)-1780279345187-657144442.jfif
[2026-06-02T16:31:53.776Z] GET /api/institute/dashboard
[2026-06-02T16:31:57.467Z] OPTIONS /api/institute/students
[2026-06-02T16:31:57.471Z] OPTIONS /api/institute/students
[2026-06-02T16:31:57.487Z] GET /api/institute/enrollments
[2026-06-02T16:31:57.496Z] GET /api/institute/halls/bookings
[2026-06-02T16:31:57.508Z] GET /api/institute/students
[2026-06-02T16:31:57.525Z] GET /api/institute/enrollments
[2026-06-02T16:31:57.535Z] GET /api/institute/students
[2026-06-02T16:31:57.548Z] GET /api/institute/enrollments
[2026-06-02T16:32:03.177Z] OPTIONS /api/institute/enrollments
[2026-06-02T16:32:03.181Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:32:03.184Z] OPTIONS /api/institute/staff
[2026-06-02T16:32:03.193Z] OPTIONS /api/institute/staff
[2026-06-02T16:32:03.198Z] GET /api/institute/enrollments
[2026-06-02T16:32:03.216Z] GET /api/institute/halls/bookings
[2026-06-02T16:32:03.224Z] GET /api/institute/staff
[2026-06-02T16:32:03.242Z] GET /api/institute/staff
[2026-06-02T16:32:03.273Z] GET /uploads/tasbeh-1780116342804-963453480.png
[2026-06-02T16:32:03.275Z] GET /uploads/payment-proof%20(1)-1780005632399-455699819.png
[2026-06-02T16:32:14.711Z] OPTIONS /api/institute/staff/48efb7e0-d41e-40d7-9e7a-a7b8856a61fa/status
[2026-06-02T16:32:14.714Z] PATCH /api/institute/staff/48efb7e0-d41e-40d7-9e7a-a7b8856a61fa/status
[2026-06-02T16:32:22.636Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:32:22.640Z] GET /api/notifications/unread-count
[2026-06-02T16:32:26.599Z] OPTIONS /api/institute/enrollments
[2026-06-02T16:32:26.604Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:32:26.617Z] OPTIONS /api/institute/halls
[2026-06-02T16:32:26.619Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:32:26.622Z] OPTIONS /api/institute/halls
[2026-06-02T16:32:26.627Z] GET /api/institute/enrollments
[2026-06-02T16:32:26.640Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:32:26.642Z] GET /api/institute/halls/bookings
[2026-06-02T16:32:26.649Z] GET /api/institute/halls
[2026-06-02T16:32:26.691Z] GET /api/institute/halls/bookings
[2026-06-02T16:32:26.694Z] GET /api/institute/halls
[2026-06-02T16:32:26.710Z] GET /uploads/%C3%99%C2%84%C3%99%C2%82%C3%98%C2%B7%C3%98%C2%A9%20%C3%98%C2%B4%C3%98%C2%A7%C3%98%C2%B4%C3%98%C2%A9%202026-04-02%20050441-1780336163254-93874772.png
[2026-06-02T16:32:26.711Z] GET /uploads/images-1779661222611-681121713.jfif
