2026-05-25 14:57:50.229 +03 [30724] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-05-25 14:57:50.245 +03 [30724] LOG:  listening on IPv6 address "::1", port 55432
2026-05-25 14:57:50.247 +03 [30724] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-05-25 14:57:50.437 +03 [23944] LOG:  database system was interrupted; last known up at 2026-05-25 07:14:36 +03
2026-05-25 14:58:00.453 +03 [23944] LOG:  syncing data directory (fsync), elapsed time: 10.00 s, current path: ./global/4177
2026-05-25 14:58:00.618 +03 [23944] LOG:  database system was not properly shut down; automatic recovery in progress
2026-05-25 14:58:00.638 +03 [23944] LOG:  redo starts at 0/2263300
2026-05-25 14:58:00.684 +03 [23944] LOG:  invalid record length at 0/2266668: expected at least 24, got 0
2026-05-25 14:58:00.685 +03 [23944] LOG:  redo done at 0/2266630 system usage: CPU: user: 0.00 s, system: 0.01 s, elapsed: 0.05 s
2026-05-25 14:58:00.722 +03 [16804] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-05-25 14:58:00.828 +03 [16804] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.017 s, sync=0.039 s, total=0.110 s; sync files=7, longest=0.009 s, average=0.006 s; distance=12 kB, estimate=12 kB; lsn=0/2266668, redo lsn=0/2266668
2026-05-25 14:58:00.875 +03 [30724] LOG:  database system is ready to accept connections
2026-05-25 15:03:00.836 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 15:03:01.302 +03 [16804] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.433 s, sync=0.014 s, total=0.466 s; sync files=5, longest=0.004 s, average=0.003 s; distance=11 kB, estimate=12 kB; lsn=0/22693C0, redo lsn=0/2269368
2026-05-25 15:13:00.345 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 15:13:00.727 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.011 s, total=0.384 s; sync files=4, longest=0.004 s, average=0.003 s; distance=11 kB, estimate=12 kB; lsn=0/226C140, redo lsn=0/226C0E8
2026-05-25 15:28:00.783 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 15:28:01.153 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.010 s, total=0.388 s; sync files=4, longest=0.004 s, average=0.003 s; distance=11 kB, estimate=12 kB; lsn=0/226EE58, redo lsn=0/226EE00
