2026-05-30 06:55:26.197 +03 [18752] LOG:  starting PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit
2026-05-30 06:55:26.207 +03 [18752] LOG:  listening on IPv6 address "::1", port 55432
2026-05-30 06:55:26.207 +03 [18752] LOG:  listening on IPv4 address "127.0.0.1", port 55432
2026-05-30 06:55:26.446 +03 [17972] LOG:  database system was interrupted; last known up at 2026-05-30 06:17:09 +03
2026-05-30 06:55:33.102 +03 [17972] LOG:  database system was not properly shut down; automatic recovery in progress
2026-05-30 06:55:33.111 +03 [17972] LOG:  redo starts at 0/25FC5D0
2026-05-30 06:55:33.117 +03 [17972] LOG:  invalid record length at 0/2601AD0: expected at least 24, got 0
2026-05-30 06:55:33.118 +03 [17972] LOG:  redo done at 0/2601A98 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-05-30 06:55:33.124 +03 [14340] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-05-30 06:55:33.176 +03 [14340] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.007 s, sync=0.029 s, total=0.055 s; sync files=7, longest=0.012 s, average=0.005 s; distance=21 kB, estimate=21 kB; lsn=0/2601AD0, redo lsn=0/2601AD0
2026-05-30 06:55:33.208 +03 [18752] LOG:  database system is ready to accept connections
2026-05-30 07:00:33.193 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 07:00:33.687 +03 [14340] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.431 s, sync=0.012 s, total=0.495 s; sync files=5, longest=0.003 s, average=0.003 s; distance=21 kB, estimate=21 kB; lsn=0/2607098, redo lsn=0/2607008
2026-05-30 07:15:33.717 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 07:15:34.089 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.008 s, total=0.372 s; sync files=4, longest=0.003 s, average=0.002 s; distance=16 kB, estimate=20 kB; lsn=0/260B2E8, redo lsn=0/260B290
2026-05-30 07:30:33.116 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 07:30:33.611 +03 [14340] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.441 s, sync=0.026 s, total=0.496 s; sync files=5, longest=0.016 s, average=0.006 s; distance=21 kB, estimate=21 kB; lsn=0/2610AA8, redo lsn=0/2610A50
2026-05-30 07:45:33.639 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 07:45:34.011 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.011 s, total=0.373 s; sync files=4, longest=0.004 s, average=0.003 s; distance=12 kB, estimate=21 kB; lsn=0/2613E48, redo lsn=0/2613DF0
2026-05-30 07:50:33.020 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 07:50:33.422 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.346 s, sync=0.027 s, total=0.402 s; sync files=4, longest=0.020 s, average=0.007 s; distance=6 kB, estimate=19 kB; lsn=0/2615738, redo lsn=0/26156E0
2026-05-30 08:00:33.445 +03 [14340] LOG:  checkpoint starting: time
